2024-06-17 12:37:15: Занимаемся акцией 'CHKZ'
2024-06-17 12:37:15: Качаем свечи для акции 'CHKZ' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CHKZ с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CHMF'
2024-06-17 12:37:15: Качаем свечи для акции 'CHMF' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CHMF с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CHMK'
2024-06-17 12:37:15: Качаем свечи для акции 'CHMK' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CHMK с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CIAN'
2024-06-17 12:37:15: Качаем свечи для акции 'CIAN' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CIAN с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CNTL'
2024-06-17 12:37:15: Качаем свечи для акции 'CNTL' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CNTL с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'CNTLP'
2024-06-17 12:37:15: Качаем свечи для акции 'CNTLP' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции CNTLP с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DELI'
2024-06-17 12:37:15: Качаем свечи для акции 'DELI' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DELI с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DIAS'
2024-06-17 12:37:15: Качаем свечи для акции 'DIAS' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DIAS с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DIOD'
2024-06-17 12:37:15: Качаем свечи для акции 'DIOD' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DIOD с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DVEC'
2024-06-17 12:37:15: Качаем свечи для акции 'DVEC' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DVEC с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DZRD'
2024-06-17 12:37:15: Качаем свечи для акции 'DZRD' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DZRD с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'DZRDP'
2024-06-17 12:37:15: Качаем свечи для акции 'DZRDP' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции DZRDP с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'EELT'
2024-06-17 12:37:15: Качаем свечи для акции 'EELT' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции EELT с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ELFV'
2024-06-17 12:37:15: Качаем свечи для акции 'ELFV' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ELFV с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ELMT'
2024-06-17 12:37:15: Качаем свечи для акции 'ELMT' с таймфреймом D начиная с 2024-06-06 09:59:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ELMT с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ENPG'
2024-06-17 12:37:15: Качаем свечи для акции 'ENPG' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ENPG с таймфреймом D. 
